Kennziffer;Raumeinheit;Aggregat;Arbeitslosenquote;Beschäftigte am Wohnort ohne Berufsabschluss;Beschäftigte am Wohnort mit akademischem Abschluss;Frauenanteil;Ausländeranteil;Stimmenanteile AfD;Haushaltseinkommen;Medianeinkommen;Krankenhausbetten;Einwohner je Arzt;Einwohnerdichte
"09376";"Schwandorf";"Landkreis";"2,8";"12,1";"6,9";"49,7";"7,5";"16,8";"1.841";"2.965";"3,67";"775,1";"100"
"09377";"Tirschenreuth";"Landkreis";"3,5";"11,2";"6,5";"50,2";"4,1";"12,3";"1.865";"2.887";"3,98";"897,9";"67"
"09461";"Bamberg, Stadt";"krsfr. Stadt";"4,5";"13,6";"24,8";"51,8";"14,2";"11,4";"1.806";"3.367";"13,37";"365,8";"1.413"
"09462";"Bayreuth, Stadt";"krsfr. Stadt";"5,0";"12,5";"20,4";"51,3";"11,1";"9,6";"1.775";"3.137";"18,61";"366,3";"1.106"
"09463";"Coburg, Stadt";"krsfr. Stadt";"5,0";"11,6";"18,3";"51,3";"10,6";"10,7";"2.118";"3.551";"12,42";"416,5";"854"
"09464";"Hof, Stadt";"krsfr. Stadt";"7,1";"12,7";"12,2";"52,0";"16,4";"13,9";"1.700";"2.668";"10,07";"425,5";"792"
"09471";"Bamberg";"Landkreis";"2,3";"11,6";"8,9";"49,9";"4,7";"15,5";"1.882";"2.888";"2,12";"1.191,7";"126"
"09472";"Bayreuth";"Landkreis";"3,1";"9,5";"7,9";"50,5";"3,6";"10,9";"1.883";"2.849";"1,13";"1.179,6";"82"
"09473";"Coburg";"Landkreis";"3,1";"10,4";"8,3";"50,6";"5,3";"12,0";"2.235";"2.655";"1,07";"1.259,2";"147"
"09474";"Forchheim";"Landkreis";"2,7";"10,7";"13,6";"50,4";"6,5";"11,8";"2.021";"3.088";"2,69";"786,9";"180"
"09475";"Hof";"Landkreis";"3,1";"9,5";"7,9";"51,2";"5,5";"12,4";"1.862";"2.698";"6,17";"920,9";"107"
"09476";"Kronach";"Landkreis";"3,1";"13,2";"7,0";"50,6";"4,7";"11,8";"1.953";"2.745";"4,17";"833,0";"104"
"09477";"Kulmbach";"Landkreis";"3,8";"9,4";"8,3";"50,8";"4,5";"11,4";"1.990";"2.956";"7,29";"673,0";"109"
"09478";"Lichtenfels";"Landkreis";"3,5";"13,7";"7,1";"50,6";"5,3";"13,2";"1.859";"2.724";"11,15";"834,7";"128"
"09479";"Wunsiedel i.Fichtelgebirge";"Landkreis";"4,5";"13,9";"7,5";"51,3";"8,1";"13,8";"1.882";"2.887";"5,57";"749,8";"121"
"09561";"Ansbach, Stadt";"krsfr. Stadt";"4,2";"15,6";"12,2";"52,2";"12,9";"13,2";"1.811";"3.171";"29,59";"362,2";"417"
"09562";"Erlangen, Stadt";"krsfr. Stadt";"3,9";"12,6";"34,2";"50,3";"17,2";"8,0";"2.062";"4.633";"19,81";"470,3";"1.442"
"09563";"Fürth, Stadt";"krsfr. Stadt";"5,3";"14,5";"17,5";"51,0";"18,7";"11,9";"2.026";"3.221";"6,87";"559,8";"1.997"
"09564";"Nürnberg, Stadt";"krsfr. Stadt";"6,0";"14,8";"20,2";"51,3";"21,9";"12,0";"1.882";"3.470";"6,90";"523,6";"2.763"
"09565";"Schwabach, Stadt";"krsfr. Stadt";"3,4";"12,4";"13,9";"51,2";"12,1";"11,9";"2.195";"3.011";"4,18";"574,4";"1.000"
"09571";"Ansbach";"Landkreis";"2,7";"12,5";"8,0";"49,7";"8,1";"11,7";"1.954";"2.865";"0,82";"1.059,3";"93"
"09572";"Erlangen-Höchstadt";"Landkreis";"2,0";"10,7";"19,5";"50,3";"8,2";"10,5";"2.179";"3.953";"0,85";"815,3";"240"
"09573";"Fürth";"Landkreis";"2,7";"10,1";"13,8";"51,5";"6,5";"12,1";"2.158";"2.862";;"795,8";"378"
"09574";"Nürnberger Land";"Landkreis";"2,5";"10,8";"13,8";"50,7";"8,6";"11,4";"2.141";"3.143";"5,75";"782,3";"212"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Landkreis";"2,2";"11,9";"8,1";"49,9";"7,5";"10,9";"1.952";"2.765";"4,81";"790,8";"79"
"09576";"Roth";"Landkreis";"2,4";"10,5";"10,3";"50,3";"6,9";"11,7";"2.049";"2.975";"2,15";"934,1";"141"
"09577";"Weißenburg-Gunzenhausen";"Landkreis";"3,1";"13,0";"7,9";"50,2";"8,8";"11,3";"1.922";"3.029";"4,47";"772,2";"97"
"09661";"Aschaffenburg, Stadt";"krsfr. Stadt";"5,1";"13,8";"17,1";"51,5";"15,9";"12,0";"2.066";"3.327";"13,51";"360,5";"1.120"
"09662";"Schweinfurt, Stadt";"krsfr. Stadt";"6,3";"16,1";"12,0";"51,1";"17,7";"15,6";"1.737";"3.962";"17,45";"353,9";"1.497"
"09663";"Würzburg, Stadt";"krsfr. Stadt";"3,8";"12,0";"27,9";"52,3";"11,2";"8,0";"2.032";"3.317";"18,37";"328,1";"1.446"
"09671";"Aschaffenburg";"Landkreis";"2,9";"10,5";"11,9";"50,3";"9,1";"11,5";"2.047";"3.070";"0,24";"1.137,1";"249"
"09672";"Bad Kissingen";"Landkreis";"3,3";"11,0";"8,3";"50,8";"5,3";"11,4";"1.926";"2.887";"8,36";"753,8";"91"
"09673";"Rhön-Grabfeld";"Landkreis";"2,6";"11,1";"8,9";"50,2";"4,6";"10,4";"1.928";"3.117";"13,84";"700,0";"78"
"09674";"Haßberge";"Landkreis";"2,7";"12,1";"6,9";"49,8";"4,5";"12,9";"1.847";"3.128";"2,84";"828,1";"88"
"09675";"Kitzingen";"Landkreis";"2,5";"11,7";"9,1";"49,7";"8,6";"10,9";"1.967";"3.064";"2,73";"786,3";"132"
"09676";"Miltenberg";"Landkreis";"2,9";"13,6";"8,6";"50,2";"10,8";"11,3";"1.945";"3.108";"2,27";"868,1";"180"
"09677";"Main-Spessart";"Landkreis";"2,0";"11,5";"9,0";"50,1";"6,6";"10,4";"1.955";"3.400";"5,24";"800,8";"96"
"09678";"Schweinfurt";"Landkreis";"2,5";"10,6";"9,1";"49,9";"5,5";"12,0";"1.912";"2.709";"5,21";"1.251,1";"137"
"09679";"Würzburg";"Landkreis";"2,1";"9,2";"13,4";"50,3";"6,0";"9,1";"2.049";"2.980";"0,87";"831,6";"167"
"09761";"Augsburg, Stadt";"krsfr. Stadt";"5,4";"14,6";"19,7";"50,9";"21,0";"13,6";"1.658";"3.550";"10,10";"508,4";"1.994"
"09762";"Kaufbeuren, Stadt";"krsfr. Stadt";"4,6";"14,4";"10,1";"50,8";"14,7";"14,0";"1.896";"3.064";"14,47";"381,4";"1.086"
"09763";"Kempten (Allgäu), Stadt";"krsfr. Stadt";"3,7";"14,9";"13,6";"50,6";"15,9";"13,4";"1.830";"3.161";"8,89";"411,6";"1.080"
"09764";"Memmingen, Stadt";"krsfr. Stadt";"3,5";"16,4";"10,2";"50,6";"17,8";"15,3";"2.388";"3.259";"12,57";"410,1";"620"
"09771";"Aichach-Friedberg";"Landkreis";"2,2";"9,2";"12,3";"50,1";"8,0";"14,3";"2.117";"2.973";"2,13";"855,5";"170"
"09772";"Augsburg";"Landkreis";"2,5";"10,5";"12,0";"50,4";"9,2";"13,8";"2.092";"2.922";"1,20";"841,2";"233"
"09773";"Dillingen a.d.Donau";"Landkreis";"2,1";"14,0";"7,2";"49,9";"8,9";"16,6";"2.048";"3.140";"3,35";"873,0";"120"
"09774";"Günzburg";"Landkreis";"2,2";"13,7";"8,4";"49,5";"12,4";"16,0";"2.000";"3.116";"8,47";"813,8";"163"
"09775";"Neu-Ulm";"Landkreis";"2,3";"13,7";"13,1";"50,4";"14,1";"14,2";"2.016";"3.392";"2,40";"747,0";"334"
"09776";"Lindau (Bodensee)";"Landkreis";"2,4";"12,1";"14,2";"50,8";"12,9";"9,0";"2.219";"3.334";"7,49";"665,1";"251"
"09777";"Ostallgäu";"Landkreis";"2,4";"10,4";"9,8";"50,2";"8,4";"11,5";"2.032";"3.231";"3,70";"910,3";"100"
"09778";"Unterallgäu";"Landkreis";"1,9";"11,3";"8,6";"49,7";"8,8";"15,3";"2.218";"3.297";"3,04";"1.063,8";"116"
"09779";"Donau-Ries";"Landkreis";"1,9";"12,0";"8,7";"49,2";"9,2";"13,2";"2.100";"3.368";"4,00";"847,4";"104"
"09780";"Oberallgäu";"Landkreis";"2,6";"9,9";"10,9";"50,7";"8,4";"10,3";"2.047";"2.978";"2,89";"854,0";"101"
"10041";"Regionalverband Saarbrücken";"Landkreis";"9,3";"14,0";"16,1";"50,9";"13,9";"10,0";"1.633";"3.431";"7,87";"547,5";"803"
"10042";"Merzig-Wadern";"Landkreis";"4,7";"13,3";"8,9";"50,6";"11,1";"9,3";"1.601";"3.028";"4,63";"803,5";"186"
"10043";"Neunkirchen";"Landkreis";"7,6";"13,2";"9,3";"50,9";"9,2";"10,9";"1.682";"3.190";"5,22";"712,8";"534"
"10044";"Saarlouis";"Landkreis";"5,2";"13,8";"9,8";"51,0";"9,8";"10,1";"1.756";"3.268";"5,09";"652,7";"426"
"10045";"Saarpfalz-Kreis";"Landkreis";"5,3";"12,6";"14,0";"51,3";"8,8";"11,3";"1.898";"3.494";"10,18";"637,3";"343"
"10046";"St. Wendel";"Landkreis";"3,5";"11,2";"10,4";"50,5";"5,1";"8,3";"1.792";"3.102";"2,80";"738,4";"185"
"11000";"Berlin, Stadt";"krsfr. Stadt";"9,0";"11,1";"26,9";"50,8";"17,6";"12,0";"1.685";"3.126";"5,63";"560,1";"4.055"
"12051";"Brandenburg an der Havel, Stadt";"krsfr. Stadt";"9,3";"7,8";"11,5";"50,6";"4,8";"17,3";"1.516";"2.765";"12,57";"520,9";"313"
"12052";"Cottbus, Stadt";"krsfr. Stadt";"8,8";"7,1";"18,3";"50,7";"8,1";"24,3";"1.681";"2.653";"11,62";"439,3";"610"
"12053";"Frankfurt (Oder), Stadt";"krsfr. Stadt";"8,9";"6,9";"13,9";"51,6";"9,8";"21,9";"1.501";"2.692";"16,20";"437,9";"394"
"12054";"Potsdam, Stadt";"krsfr. Stadt";"6,0";"7,3";"27,3";"51,6";"8,0";"12,8";"1.667";"2.979";"9,15";"507,8";"933"
"12060";"Barnim";"Landkreis";"6,3";"6,6";"12,6";"50,4";"3,8";"20,6";"1.699";"2.402";"6,52";"818,4";"122"
"12061";"Dahme-Spreewald";"Landkreis";"4,7";"6,3";"13,3";"50,4";"4,4";"21,4";"1.734";"2.518";"6,04";"845,0";"74"
"12062";"Elbe-Elster";"Landkreis";"8,1";"4,6";"8,9";"50,4";"2,8";"24,2";"1.584";"2.215";"4,45";"777,9";"54"
"12063";"Havelland";"Landkreis";"6,4";"7,8";"11,7";"50,5";"4,0";"18,0";"1.686";"2.227";"3,02";"902,9";"93"
"12064";"Märkisch-Oderland";"Landkreis";"6,6";"6,5";"11,5";"50,4";"2,8";"20,8";"1.691";"2.408";"3,47";"781,1";"89"
"12065";"Oberhavel";"Landkreis";"6,2";"7,3";"12,4";"50,7";"3,6";"19,3";"1.769";"2.591";"5,24";"816,7";"116"
"12066";"Oberspreewald-Lausitz";"Landkreis";"9,2";"5,6";"10,6";"50,9";"3,2";"25,9";"1.632";"2.490";"4,58";"805,2";"91"
"12067";"Oder-Spree";"Landkreis";"7,3";"6,0";"11,9";"50,9";"3,9";"22,1";"1.691";"2.532";"7,59";"755,7";"79"
"12068";"Ostprignitz-Ruppin";"Landkreis";"7,7";"7,4";"8,8";"50,2";"3,5";"18,5";"1.574";"2.310";"11,52";"666,9";"39"
"12069";"Potsdam-Mittelmark";"Landkreis";"4,9";"6,7";"16,9";"50,5";"4,0";"15,4";"1.888";"2.479";"3,39";"951,8";"82"
"12070";"Prignitz";"Landkreis";"9,1";"6,5";"7,2";"50,2";"4,2";"18,3";"1.611";"2.239";"4,99";"750,1";"36"
"12071";"Spree-Neiße";"Landkreis";"7,4";"6,0";"10,4";"50,8";"3,2";"28,9";"1.690";"2.532";"4,48";"931,1";"70"
"12072";"Teltow-Fläming";"Landkreis";"5,6";"7,7";"10,3";"50,2";"4,8";"20,0";"1.657";"2.441";"2,97";"864,7";"79"
"12073";"Uckermark";"Landkreis";"12,4";"6,3";"9,0";"51,0";"4,0";"20,8";"1.540";"2.334";"5,76";"752,2";"39"
"13003";"Rostock, Stadt";"krsfr. Stadt";"8,7";"7,8";"20,4";"50,7";"5,9";"14,7";"1.532";"2.763";"7,30";"468,3";"1.149"
"13004";"Schwerin, Stadt";"krsfr. Stadt";"9,1";"6,9";"16,4";"51,9";"8,8";"15,6";"1.595";"2.795";"15,17";"451,9";"734"
"13071";"Mecklenburgische Seenplatte";"Landkreis";"10,6";"6,2";"11,0";"50,9";"3,1";"19,6";"1.584";"2.325";"6,27";"656,4";"47"
"13072";"Landkreis Rostock";"Landkreis";"6,6";"5,4";"12,2";"50,3";"3,0";"18,2";"1.686";"2.239";"3,66";"813,0";"63"
"13073";"Vorpommern-Rügen";"Landkreis";"9,9";"5,9";"9,8";"50,8";"3,9";"20,5";"1.602";"2.194";"5,05";"678,1";"70"
"13074";"Nordwestmecklenburg";"Landkreis";"6,9";"7,0";"10,6";"50,2";"3,4";"17,0";"1.611";"2.495";"3,78";"777,2";"74"
"13075";"Vorpommern-Greifswald";"Landkreis";"10,2";"7,1";"12,6";"50,9";"4,1";"22,7";"1.518";"2.244";"9,34";"646,0";"60"
"13076";"Ludwigslust-Parchim";"Landkreis";"6,0";"6,6";"8,4";"50,1";"4,6";"17,7";"1.676";"2.295";"4,49";"871,0";"45"
"14511";"Chemnitz, Stadt";"krsfr. Stadt";"7,6";"6,5";"20,9";"50,7";"7,4";"24,3";"1.701";"2.633";"9,43";"566,2";"1.117"
"14521";"Erzgebirgskreis";"Landkreis";"5,4";"5,3";"10,6";"51,1";"1,9";"28,9";"1.685";"2.191";"6,01";"777,1";"186"
"14522";"Mittelsachsen";"Landkreis";"5,9";"5,1";"12,8";"50,3";"3,1";"30,4";"1.695";"2.243";"4,33";"802,5";"146"
"14523";"Vogtlandkreis";"Landkreis";"5,9";"5,7";"12,0";"51,3";"3,3";"26,4";"1.682";"2.241";"7,44";"724,2";"163"
"14524";"Zwickau";"Landkreis";"5,8";"5,8";"12,8";"51,2";"3,1";"26,0";"1.740";"2.484";"6,23";"675,1";"337"
"14612";"Dresden, Stadt";"krsfr. Stadt";"6,6";"6,7";"30,2";"50,2";"7,0";"22,5";"1.616";"2.987";"6,98";"558,3";"1.678"
"14625";"Bautzen";"Landkreis";"6,2";"5,4";"12,9";"50,6";"2,0";"32,5";"1.696";"2.283";"5,65";"727,5";"126"
"14626";"Görlitz";"Landkreis";"9,2";"5,6";"12,3";"51,0";"4,2";"32,9";"1.594";"2.183";"7,04";"739,4";"122"
"14627";"Meißen";"Landkreis";"6,5";"5,2";"14,7";"50,7";"2,9";"32,9";"1.740";"2.418";"4,94";"699,9";"167"
"14628";"Sächsische Schweiz-Osterzgebirge";"Landkreis";"5,7";"5,7";"13,6";"50,7";"2,6";"35,5";"1.714";"2.298";"5,23";"779,1";"148"
"14713";"Leipzig, Stadt";"krsfr. Stadt";"7,7";"7,3";"26,9";"50,9";"9,0";"18,3";"1.491";"2.807";"7,05";"572,3";"1.954"
"14729";"Leipzig";"Landkreis";"6,1";"5,5";"13,6";"51,0";"2,3";"26,9";"1.766";"2.275";"4,40";"754,4";"156"
"14730";"Nordsachsen";"Landkreis";"7,8";"6,1";"10,7";"50,3";"3,7";"26,9";"1.638";"2.371";"7,22";"752,1";"98"
"15001";"Dessau-Roßlau, Stadt";"krsfr. Stadt";"8,8";"5,9";"14,0";"51,4";"5,5";"20,1";"1.667";"2.664";"11,42";"503,7";"335"
"15002";"Halle (Saale), Stadt";"krsfr. Stadt";"9,9";"8,3";"21,4";"51,6";"9,1";"17,1";"1.487";"2.806";"12,43";"478,3";"1.771"
"15003";"Magdeburg, Stadt";"krsfr. Stadt";"9,3";"7,4";"20,9";"50,7";"8,6";"15,7";"1.569";"2.760";"9,85";"523,0";"1.186"
"15081";"Altmarkkreis Salzwedel";"Landkreis";"7,8";"6,7";"8,5";"50,1";"3,6";"15,6";"1.695";"2.266";"5,04";"949,0";"37"
"15082";"Anhalt-Bitterfeld";"Landkreis";"8,1";"5,7";"9,6";"50,9";"3,5";"22,4";"1.643";"2.321";"5,33";"750,1";"111"
"15083";"Börde";"Landkreis";"5,9";"6,1";"9,1";"50,1";"3,1";"18,8";"1.739";"2.513";"3,57";"876,2";"73"
"15084";"Burgenlandkreis";"Landkreis";"8,1";"5,7";"8,9";"50,3";"5,1";"24,3";"1.625";"2.383";"5,99";"761,4";"129"
"15085";"Harz";"Landkreis";"6,4";"5,6";"9,7";"50,9";"3,0";"16,5";"1.667";"2.450";"7,19";"792,3";"103"
"15086";"Jerichower Land";"Landkreis";"7,8";"5,6";"10,2";"50,2";"3,4";"19,0";"1.724";"2.352";"8,30";"913,8";"57"
"15087";"Mansfeld-Südharz";"Landkreis";"11,1";"6,5";"8,6";"50,8";"2,9";"23,9";"1.596";"2.324";"5,37";"793,2";"95"
"15088";"Saalekreis";"Landkreis";"7,6";"6,0";"11,2";"50,5";"3,5";"24,0";"1.721";"2.528";"3,41";"843,2";"129"
"15089";"Salzlandkreis";"Landkreis";"9,8";"6,7";"8,6";"51,1";"3,1";"20,4";"1.607";"2.449";"6,71";"732,8";"135"
"15090";"Stendal";"Landkreis";"10,1";"6,3";"10,3";"50,6";"3,7";"17,7";"1.591";"2.358";"8,86";"739,8";"47"
"15091";"Wittenberg";"Landkreis";"7,9";"5,4";"8,9";"50,7";"3,2";"19,9";"1.685";"2.293";"4,64";"818,2";"66"
"16051";"Erfurt, Stadt";"krsfr. Stadt";"6,8";"7,2";"20,7";"51,3";"7,4";"18,5";"1.598";"2.679";"7,92";"505,9";"789"
"16052";"Gera, Stadt";"krsfr. Stadt";"9,8";"5,3";"12,1";"51,6";"5,8";"28,5";"1.639";"2.390";"10,21";"429,2";"623"
"16053";"Jena, Stadt";"krsfr. Stadt";"6,1";"5,8";"38,4";"50,1";"8,9";"14,4";"1.549";"3.066";"13,07";"487,3";"968"
"16054";"Suhl, Stadt";"krsfr. Stadt";"5,3";"6,1";"13,6";"51,3";"7,0";"19,9";"1.795";"2.540";"15,75";"395,1";"341"
"16055";"Weimar, Stadt";"krsfr. Stadt";"6,5";"6,8";"26,6";"51,5";"8,2";"16,1";"1.590";"2.902";"8,70";"484,4";"763"
"16056";"Eisenach, Stadt";"krsfr. Stadt";"7,1";"8,5";"13,0";"50,7";"7,9";"19,0";"1.629";"2.721";"9,30";"431,4";"410"
"16061";"Eichsfeld";"Landkreis";"4,3";"6,1";"8,4";"49,7";"3,3";"18,2";"1.669";"2.360";"4,13";"740,0";"107"
"16062";"Nordhausen";"Landkreis";"7,5";"6,7";"10,5";"50,5";"4,2";"21,1";"1.557";"2.467";"11,54";"632,1";"119"
"16063";"Wartburgkreis";"Landkreis";"4,4";"5,5";"8,5";"50,0";"2,8";"22,5";"1.746";"2.514";"4,22";"890,4";"95"
"16064";"Unstrut-Hainich-Kreis";"Landkreis";"8,2";"5,4";"9,2";"50,4";"3,5";"23,2";"1.585";"2.242";"12,27";"690,0";"106"
"16065";"Kyffhäuserkreis";"Landkreis";"8,7";"6,2";"7,9";"50,3";"2,8";"25,0";"1.554";"2.427";"5,99";"781,6";"73"
"16066";"Schmalkalden-Meiningen";"Landkreis";"4,5";"5,4";"10,9";"50,0";"3,2";"21,6";"1.724";"2.352";"6,52";"690,7";"102"
"16067";"Gotha";"Landkreis";"5,7";"6,4";"10,0";"50,2";"5,4";"23,2";"1.626";"2.468";"3,75";"811,5";"145"
"16068";"Sömmerda";"Landkreis";"6,1";"7,3";"8,6";"50,0";"2,6";"24,2";"1.628";"2.388";;"1.077,3";"87"
"16069";"Hildburghausen";"Landkreis";"3,9";"5,9";"8,3";"50,0";"2,9";"25,2";"1.714";"2.311";"7,96";"841,1";"68"
"16070";"Ilm-Kreis";"Landkreis";"5,8";"6,5";"14,3";"49,7";"5,3";"25,0";"1.630";"2.509";"5,14";"892,0";"129"
"16071";"Weimarer Land";"Landkreis";"4,5";"6,1";"12,0";"50,4";"3,5";"23,7";"1.650";"2.372";"12,97";"838,1";"102"
"16072";"Sonneberg";"Landkreis";"3,6";"7,9";"8,7";"50,8";"4,1";"25,6";"1.735";"2.362";"6,74";"704,5";"130"
"16073";"Saalfeld-Rudolstadt";"Landkreis";"5,9";"6,4";"10,5";"50,8";"2,7";"27,0";"1.692";"2.466";"9,18";"745,6";"104"
"16074";"Saale-Holzland-Kreis";"Landkreis";"5,0";"4,9";"12,8";"50,2";"2,9";"23,5";"1.676";"2.288";"7,73";"922,1";"102"
"16075";"Saale-Orla-Kreis";"Landkreis";"5,2";"5,8";"8,6";"50,5";"3,3";"26,5";"1.668";"2.253";"1,46";"857,9";"71"
"16076";"Greiz";"Landkreis";"5,7";"5,0";"10,0";"50,7";"2,3";"25,6";"1.710";"2.233";"4,08";"769,6";"117"
"16077";"Altenburger Land";"Landkreis";"8,6";"5,3";"8,7";"51,0";"3,2";"27,5";"1.655";"2.218";"6,56";"686,7";"159"
