Kennziffer;Raumeinheit;Aggregat;Arbeitslosenquote;Beschäftigte am Wohnort ohne Berufsabschluss;Beschäftigte am Wohnort mit akademischem Abschluss;Frauenanteil;Ausländeranteil;Stimmenanteile AfD;Haushaltseinkommen;Medianeinkommen;Krankenhausbetten;Einwohner je Arzt;Einwohnerdichte
"06633";"Kassel";"Landkreis";"4,2";"10,1";"9,9";"50,9";"6,9";"11,3";"1.854";"3.474";"4,02";"845,3";"183"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"4,3";"12,0";"8,3";"49,9";"7,0";"12,9";"1.797";"3.013";"3,55";"856,7";"117"
"06635";"Waldeck-Frankenberg";"Landkreis";"3,9";"13,1";"8,0";"50,1";"8,1";"12,4";"1.811";"3.071";"10,75";"748,8";"85"
"06636";"Werra-Meißner-Kreis";"Landkreis";"5,6";"11,3";"8,6";"50,6";"7,0";"11,2";"1.689";"2.821";"5,82";"856,8";"99"
"07111";"Koblenz, Stadt";"krsfr. Stadt";"6,1";"14,7";"18,7";"51,4";"12,7";"8,4";"1.778";"3.354";"17,66";"396,7";"1.082"
"07131";"Ahrweiler";"Landkreis";"3,8";"11,7";"11,0";"50,9";"9,1";"8,8";"1.967";"2.928";"5,89";"689,4";"164"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"4,7";"14,2";"7,2";"50,5";"7,2";"10,9";"1.792";"3.059";"2,99";"852,9";"200"
"07133";"Bad Kreuznach";"Landkreis";"6,2";"14,5";"9,9";"51,2";"9,8";"11,6";"1.850";"3.141";"6,09";"764,8";"182"
"07134";"Birkenfeld";"Landkreis";"6,0";"15,0";"6,8";"50,4";"7,7";"12,0";"1.803";"2.858";"8,30";"791,5";"104"
"07135";"Cochem-Zell";"Landkreis";"3,6";"12,2";"6,4";"49,9";"7,0";"8,5";"1.897";"2.876";"7,19";"844,7";"89"
"07137";"Mayen-Koblenz";"Landkreis";"3,5";"12,0";"9,2";"50,6";"7,6";"10,1";"1.844";"2.978";"3,53";"912,6";"261"
"07138";"Neuwied";"Landkreis";"5,3";"12,6";"8,9";"50,8";"9,1";"10,6";"1.917";"3.114";"8,88";"773,0";"290"
"07140";"Rhein-Hunsrück-Kreis";"Landkreis";"3,7";"12,1";"8,1";"50,2";"7,4";"9,8";"1.999";"3.032";"4,33";"850,7";"104"
"07141";"Rhein-Lahn-Kreis";"Landkreis";"3,5";"12,9";"8,7";"50,5";"8,3";"10,9";"1.868";"3.018";"8,15";"832,5";"156"
"07143";"Westerwaldkreis";"Landkreis";"3,3";"12,4";"8,6";"50,3";"8,5";"10,8";"2.070";"2.958";"2,66";"885,6";"203"
"07211";"Trier, Stadt";"krsfr. Stadt";"5,1";"15,8";"18,6";"50,8";"13,1";"7,8";"1.716";"3.153";"13,88";"436,6";"940"
"07231";"Bernkastel-Wittlich";"Landkreis";"3,5";"12,1";"6,9";"50,1";"9,4";"8,4";"1.833";"2.894";"4,43";"773,3";"96"
"07232";"Eifelkreis Bitburg-Prüm";"Landkreis";"3,0";"14,0";"6,2";"49,8";"12,1";"7,4";"1.857";"3.119";"6,12";"962,9";"60"
"07233";"Vulkaneifel";"Landkreis";"4,3";"12,9";"6,5";"49,8";"7,1";"8,2";"1.806";"2.948";"3,82";"843,1";"67"
"07235";"Trier-Saarburg";"Landkreis";"3,0";"11,8";"8,7";"50,5";"10,1";"8,1";"1.911";"2.899";"2,50";"996,9";"135"
"07311";"Frankenthal (Pfalz), Stadt";"krsfr. Stadt";"7,0";"15,4";"10,3";"51,7";"16,3";"16,5";"1.858";"3.487";"6,50";"550,2";"1.103"
"07312";"Kaiserslautern, Stadt";"krsfr. Stadt";"9,4";"15,0";"17,2";"49,5";"15,5";"13,7";"1.589";"3.407";"11,56";"481,6";"714"
